uses_https,suspicious_patterns_count,domain_age_days,uses_suspicious_tld,domain_length,uses_ip,redirects,subdomains_count,url_length,label
0.0,4.0,106.0,1.0,43.0,0.0,3.0,2.0,81.0,1.0
1.0,1.0,4196.0,1.0,18.0,1.0,2.0,0.0,75.0,0.0
0.0,4.0,86.0,1.0,34.0,1.0,6.0,2.0,123.0,1.0
1.0,0.0,8368.0,1.0,15.0,0.0,1.0,1.0,52.0,0.0
0.0,3.0,53.0,1.0,36.0,0.0,1.0,1.0,96.0,1.0
0.0,5.0,52.0,1.0,16.0,1.0,4.0,2.0,68.0,1.0
1.0,1.0,9658.0,0.0,9.0,0.0,3.0,2.0,14.0,0.0
0.0,10.0,34.0,1.0,49.0,0.0,4.0,0.0,160.0,1.0
0.0,3.0,97.0,1.0,10.0,0.0,0.0,0.0,170.0,1.0
0.0,1.0,86.0,0.0,37.0,1.0,1.0,1.0,121.0,1.0
0.0,0.0,5477.0,0.0,5.0,0.0,2.0,0.0,52.0,0.0
0.0,5.0,7.0,1.0,49.0,0.0,6.0,1.0,115.0,1.0
1.0,1.0,5747.0,1.0,13.0,0.0,0.0,1.0,62.0,0.0
0.0,2.0,33.0,0.0,27.0,1.0,1.0,2.0,167.0,1.0
1.0,0.0,8107.0,0.0,24.0,1.0,0.0,0.0,28.0,0.0
1.0,4.0,30.0,1.0,28.0,1.0,3.0,5.0,169.0,1.0
1.0,0.0,158.0,1.0,6.0,1.0,0.0,2.0,45.0,0.0
1.0,2.0,5982.0,0.0,8.0,0.0,0.0,2.0,78.0,0.0
1.0,0.0,5452.0,1.0,10.0,0.0,1.0,2.0,63.0,0.0
1.0,1.0,3279.0,1.0,25.0,0.0,0.0,1.0,79.0,0.0
1.0,0.0,1072.0,0.0,12.0,0.0,1.0,0.0,54.0,0.0
1.0,0.0,5825.0,0.0,11.0,0.0,1.0,2.0,47.0,0.0
0.0,6.0,41.0,0.0,27.0,0.0,9.0,0.0,118.0,1.0
0.0,8.0,44.0,1.0,13.0,1.0,0.0,4.0,159.0,1.0
0.0,7.0,78.0,0.0,24.0,1.0,5.0,1.0,192.0,1.0
1.0,0.0,5777.0,0.0,14.0,0.0,1.0,0.0,14.0,0.0
1.0,2.0,8108.0,1.0,14.0,0.0,0.0,1.0,20.0,0.0
0.0,4.0,54.0,1.0,10.0,0.0,1.0,3.0,140.0,1.0
1.0,0.0,7759.0,0.0,22.0,0.0,0.0,1.0,56.0,0.0
1.0,4.0,37.0,0.0,45.0,0.0,4.0,0.0,193.0,1.0
0.0,7.0,44.0,0.0,47.0,1.0,1.0,0.0,132.0,1.0
1.0,0.0,2381.0,0.0,19.0,0.0,1.0,2.0,26.0,0.0
1.0,5.0,64.0,1.0,30.0,1.0,2.0,1.0,64.0,1.0
1.0,3.0,62.0,0.0,21.0,1.0,1.0,5.0,111.0,1.0
0.0,0.0,9862.0,0.0,13.0,0.0,1.0,0.0,42.0,0.0
1.0,1.0,578.0,0.0,14.0,0.0,0.0,1.0,69.0,0.0
1.0,0.0,6024.0,0.0,4.0,0.0,0.0,1.0,43.0,0.0
1.0,1.0,2344.0,0.0,6.0,0.0,0.0,0.0,51.0,0.0
1.0,0.0,9079.0,0.0,8.0,1.0,1.0,1.0,63.0,0.0
1.0,2.0,36.0,0.0,10.0,0.0,0.0,2.0,168.0,1.0
1.0,0.0,1009.0,1.0,24.0,0.0,1.0,1.0,42.0,0.0
1.0,1.0,22.0,0.0,31.0,0.0,4.0,1.0,141.0,1.0
0.0,5.0,115.0,1.0,28.0,0.0,5.0,4.0,134.0,1.0
0.0,5.0,120.0,1.0,19.0,1.0,1.0,5.0,156.0,1.0
1.0,2.0,3998.0,1.0,4.0,0.0,1.0,0.0,24.0,0.0
1.0,0.0,6884.0,1.0,7.0,0.0,3.0,2.0,47.0,0.0
1.0,0.0,7270.0,1.0,7.0,0.0,1.0,0.0,32.0,0.0
0.0,1.0,7113.0,0.0,19.0,0.0,0.0,2.0,58.0,0.0
1.0,0.0,9450.0,1.0,15.0,0.0,1.0,1.0,13.0,0.0
1.0,0.0,4305.0,1.0,10.0,0.0,2.0,2.0,61.0,0.0
0.0,5.0,21.0,0.0,20.0,0.0,7.0,5.0,184.0,1.0
0.0,5.0,68.0,0.0,35.0,0.0,2.0,2.0,114.0,1.0
1.0,3.0,15.0,1.0,12.0,0.0,6.0,2.0,106.0,1.0
1.0,1.0,3276.0,1.0,9.0,0.0,0.0,2.0,47.0,0.0
1.0,1.0,8761.0,1.0,24.0,0.0,0.0,0.0,75.0,0.0
1.0,0.0,7643.0,0.0,23.0,0.0,0.0,0.0,70.0,0.0
